Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum
1,29,2320,80,0.02,255,
2,0,0,NaN,0,NaN,0
3,0,0,NaN,0,NaN,0
4,0,0,NaN,0,NaN,0
5,0,0,NaN,0,NaN,0
6,0,0,NaN,0,NaN,0
7,0,0,NaN,0,NaN,0
8,0,0,NaN,0,NaN,0
9,0,0,NaN,0,NaN,0
10,0,0,NaN,0,NaN,0
11,0,0,NaN,0,NaN,0
12,0,0,NaN,0,NaN,0
13,0,0,NaN,0,NaN,0
14,1,80,80,0.0006838,255,1
15,0,0,NaN,0,NaN,1
16,0,0,NaN,0,NaN,1
17,0,0,NaN,0,NaN,1
18,0,0,NaN,0,NaN,1
19,0,0,NaN,0,NaN,1
20,0,0,NaN,0,NaN,1
21,0,0,NaN,0,NaN,1
22,0,0,NaN,0,NaN,1
23,0,0,NaN,0,NaN,1
24,0,0,NaN,0,NaN,1
25,0,0,NaN,0,NaN,1
26,1,80,80,0.0006838,255,2
27,0,0,NaN,0,NaN,2
28,0,0,NaN,0,NaN,2
29,0,0,NaN,0,NaN,2
30,0,0,NaN,0,NaN,2
31,0,0,NaN,0,NaN,2
32,1,80,80,0.0006838,255,3
33,0,0,NaN,0,NaN,3
34,0,0,NaN,0,NaN,3
35,0,0,NaN,0,NaN,3
36,0,0,NaN,0,NaN,3
37,0,0,NaN,0,NaN,3
38,0,0,NaN,0,NaN,3
39,0,0,NaN,0,NaN,4
40,1,80,80,0.0006838,255,4
41,0,0,NaN,0,NaN,4
42,0,0,NaN,0,NaN,5
43,1,80,80,0.0006838,255,5
44,1,80,80,0.0006838,255,6
45,0,0,NaN,0,NaN,6
46,0,0,NaN,0,NaN,6
47,0,0,NaN,0,NaN,6
48,2,160,80,0.001,255,8
49,0,0,NaN,0,NaN,8
50,0,0,NaN,0,NaN,8
51,0,0,NaN,0,NaN,8
52,0,0,NaN,0,NaN,8
53,0,0,NaN,0,NaN,8
54,0,0,NaN,0,NaN,8
55,1,80,80,0.0006838,255,9
56,0,0,NaN,0,NaN,9
57,0,0,NaN,0,NaN,9
58,0,0,NaN,0,NaN,9
59,0,0,NaN,0,NaN,9
60,1,80,80,0.0006838,255,11
61,1,80,80,0.0006838,255,11
62,0,0,NaN,0,NaN,12
63,1,80,80,0.0006838,255,12
64,0,0,NaN,0,NaN,12
65,0,0,NaN,0,NaN,12
66,0,0,NaN,0,NaN,14
67,2,160,80,0.001,255,14
68,0,0,NaN,0,NaN,14
69,1,80,80,0.0006838,255,16
70,1,80,80,0.0006838,255,16
71,0,0,NaN,0,NaN,19
72,3,240,80,0.002,255,19
73,0,0,NaN,0,NaN,19
74,0,0,NaN,0,NaN,19
75,0,0,NaN,0,NaN,19
76,0,0,NaN,0,NaN,19
77,0,0,NaN,0,NaN,19
78,0,0,NaN,0,NaN,19
79,0,0,NaN,0,NaN,19
80,2,160,80,0.001,255,21
81,0,0,NaN,0,NaN,21
82,1,80,80,0.0006838,255,22
83,0,0,NaN,0,NaN,22
84,2,160,80,0.001,255,24
85,0,0,NaN,0,NaN,24
86,0,0,NaN,0,NaN,24
87,2,160,80,0.001,255,27
88,1,80,80,0.0006838,255,27
89,0,0,NaN,0,NaN,27
90,0,0,NaN,0,NaN,27
91,0,0,NaN,0,NaN,27
92,0,0,NaN,0,NaN,27
93,1,80,80,0.0006838,255,29
94,1,80,80,0.0006838,255,29
