Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum
1,86,6960,80.93,0.089,255,
2,0,0,NaN,0,NaN,0
3,0,0,NaN,0,NaN,0
4,0,0,NaN,0,NaN,0
5,0,0,NaN,0,NaN,0
6,1,80,80,0.001,255,1
7,0,0,NaN,0,NaN,1
8,0,0,NaN,0,NaN,2
9,1,80,80,0.001,255,2
10,0,0,NaN,0,NaN,2
11,0,0,NaN,0,NaN,2
12,0,0,NaN,0,NaN,2
13,0,0,NaN,0,NaN,2
14,0,0,NaN,0,NaN,2
15,1,80,80,0.001,255,3
16,0,0,NaN,0,NaN,3
17,0,0,NaN,0,NaN,3
18,0,0,NaN,0,NaN,3
19,0,0,NaN,0,NaN,3
20,0,0,NaN,0,NaN,3
21,0,0,NaN,0,NaN,3
22,0,0,NaN,0,NaN,3
23,0,0,NaN,0,NaN,6
24,3,240,80,0.003,255,6
25,0,0,NaN,0,NaN,8
26,2,160,80,0.002,255,8
27,3,240,80,0.003,255,12
28,1,80,80,0.001,255,12
29,1,80,80,0.001,255,13
30,0,0,NaN,0,NaN,13
31,1,80,80,0.001,255,16
32,2,160,80,0.002,255,16
33,0,0,NaN,0,NaN,17
34,1,80,80,0.001,255,17
35,0,0,NaN,0,NaN,21
36,4,320,80,0.004,255,21
37,1,80,80,0.001,255,22
38,0,0,NaN,0,NaN,22
39,3,240,80,0.003,255,27
40,2,160,80,0.002,255,27
41,3,240,80,0.003,255,32
42,2,160,80,0.002,255,32
43,0,0,NaN,0,NaN,33
44,1,80,80,0.001,255,33
45,1,80,80,0.001,255,35
46,1,80,80,0.001,255,35
47,2,160,80,0.002,255,38
48,1,80,80,0.001,255,38
49,0,0,NaN,0,NaN,41
50,3,240,80,0.003,255,41
51,0,0,NaN,0,NaN,43
52,2,160,80,0.002,255,43
53,1,80,80,0.001,255,45
54,1,80,80,0.001,255,45
55,2,160,80,0.002,255,48
56,1,80,80,0.001,255,48
57,2,160,80,0.002,255,53
58,3,240,80,0.003,255,53
59,1,80,80,0.001,255,57
60,3,240,80,0.003,255,57
61,2,160,80,0.002,255,61
62,2,160,80,0.002,255,61
63,4,320,80,0.004,255,66
64,1,80,80,0.001,255,66
65,0,0,NaN,0,NaN,69
66,3,240,80,0.003,255,69
67,2,160,80,0.002,255,72
68,1,80,80,0.001,255,72
69,4,320,80,0.004,255,76
70,0,0,NaN,0,NaN,76
71,0,0,NaN,0,NaN,77
72,1,80,80,0.001,255,77
73,1,80,80,0.001,255,86
74,8,640,80,0.008,255,86
