Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum,,Normal cells,All cells,Del/all cells*1000%
1,5,400,80,0.003,255,,,514,519,
2,0,0,NaN,0,NaN,0,,,,0
3,0,0,NaN,0,NaN,0,,,,0
4,0,0,NaN,0,NaN,0,,,,0
5,0,0,NaN,0,NaN,0,,,,0
6,0,0,NaN,0,NaN,0,,,,0
7,0,0,NaN,0,NaN,0,,,,0
8,0,0,NaN,0,NaN,0,,,,0
9,0,0,NaN,0,NaN,0,,,,0
10,0,0,NaN,0,NaN,0,,,,0
11,0,0,NaN,0,NaN,0,,,,0
12,0,0,NaN,0,NaN,0,,,,0
13,0,0,NaN,0,NaN,0,,,,0
14,0,0,NaN,0,NaN,0,,,,0
15,0,0,NaN,0,NaN,0,,,,0
16,0,0,NaN,0,NaN,0,,,,0
17,0,0,NaN,0,NaN,0,,,,0
18,0,0,NaN,0,NaN,0,,,,0
19,0,0,NaN,0,NaN,0,,,,0
20,0,0,NaN,0,NaN,0,,,,0
21,0,0,NaN,0,NaN,0,,,,0
22,0,0,NaN,0,NaN,0,,,,0
23,0,0,NaN,0,NaN,0,,,,0
24,0,0,NaN,0,NaN,0,,,,0
25,0,0,NaN,0,NaN,0,,,,0
26,0,0,NaN,0,NaN,0,,,,0
27,0,0,NaN,0,NaN,0,,,,0
28,0,0,NaN,0,NaN,0,,,,0
29,0,0,NaN,0,NaN,0,,,,0
30,0,0,NaN,0,NaN,0,,,,0
31,0,0,NaN,0,NaN,0,,,,0
32,0,0,NaN,0,NaN,0,,,,0
33,0,0,NaN,0,NaN,0,,,,0
34,0,0,NaN,0,NaN,0,,,,0
35,0,0,NaN,0,NaN,0,,,,0
36,0,0,NaN,0,NaN,0,,,,0
37,0,0,NaN,0,NaN,0,,,,0
38,0,0,NaN,0,NaN,0,,,,0
39,0,0,NaN,0,NaN,0,,,,0
40,0,0,NaN,0,NaN,0,,,,0
41,0,0,NaN,0,NaN,0,,,,0
42,0,0,NaN,0,NaN,0,,,,0
43,0,0,NaN,0,NaN,0,,,,0
44,0,0,NaN,0,NaN,0,,,,0
45,0,0,NaN,0,NaN,0,,,,0
46,0,0,NaN,0,NaN,0,,,,0
47,0,0,NaN,0,NaN,0,,,,0
48,0,0,NaN,0,NaN,0,,,,0
49,0,0,NaN,0,NaN,0,,,,0
50,0,0,NaN,0,NaN,0,,,,0
51,0,0,NaN,0,NaN,0,,,,0
52,0,0,NaN,0,NaN,0,,,,0
53,0,0,NaN,0,NaN,0,,,,0
54,1,80,80,0.0005158,255,1,,,,0.192678227360308
55,0,0,NaN,0,NaN,1,,,,0.192678227360308
56,0,0,NaN,0,NaN,1,,,,0.192678227360308
57,0,0,NaN,0,NaN,1,,,,0.192678227360308
58,0,0,NaN,0,NaN,1,,,,0.192678227360308
59,0,0,NaN,0,NaN,1,,,,0.192678227360308
60,0,0,NaN,0,NaN,1,,,,0.192678227360308
61,0,0,NaN,0,NaN,1,,,,0.192678227360308
62,0,0,NaN,0,NaN,1,,,,0.192678227360308
63,0,0,NaN,0,NaN,1,,,,0.192678227360308
64,0,0,NaN,0,NaN,1,,,,0.192678227360308
65,0,0,NaN,0,NaN,1,,,,0.192678227360308
66,0,0,NaN,0,NaN,1,,,,0.192678227360308
67,0,0,NaN,0,NaN,1,,,,0.192678227360308
68,1,80,80,0.0005158,255,2,,,,0.385356454720617
69,0,0,NaN,0,NaN,2,,,,0.385356454720617
70,0,0,NaN,0,NaN,2,,,,0.385356454720617
71,0,0,NaN,0,NaN,2,,,,0.385356454720617
72,1,80,80,0.0005158,255,3,,,,0.578034682080925
73,0,0,NaN,0,NaN,3,,,,0.578034682080925
74,0,0,NaN,0,NaN,3,,,,0.578034682080925
75,0,0,NaN,0,NaN,3,,,,0.578034682080925
76,0,0,NaN,0,NaN,3,,,,0.578034682080925
77,0,0,NaN,0,NaN,3,,,,0.578034682080925
78,1,80,80,0.0005158,255,4,,,,0.770712909441233
79,0,0,NaN,0,NaN,4,,,,0.770712909441233
80,0,0,NaN,0,NaN,4,,,,0.770712909441233
81,0,0,NaN,0,NaN,4,,,,0.770712909441233
82,0,0,NaN,0,NaN,4,,,,0.770712909441233
83,0,0,NaN,0,NaN,4,,,,0.770712909441233
84,0,0,NaN,0,NaN,4,,,,0.770712909441233
85,0,0,NaN,0,NaN,4,,,,0.770712909441233
86,0,0,NaN,0,NaN,4,,,,0.770712909441233
87,0,0,NaN,0,NaN,4,,,,0.770712909441233
88,0,0,NaN,0,NaN,4,,,,0.770712909441233
89,0,0,NaN,0,NaN,4,,,,0.770712909441233
90,0,0,NaN,0,NaN,4,,,,0.770712909441233
91,1,80,80,0.0005158,255,5,,,,0.963391136801541
92,0,0,NaN,0,NaN,5,,,,0.963391136801541
93,0,0,NaN,0,NaN,5,,,,0.963391136801541
94,0,0,NaN,0,NaN,5,,,,0.963391136801541
95,0,0,NaN,0,NaN,5,,,,0.963391136801541
96,0,0,NaN,0,NaN,5,,,,0.963391136801541
97,0,0,NaN,0,NaN,5,,,,0.963391136801541
98,0,0,NaN,0,NaN,5,,,,0.963391136801541
