Slice,Count,Total Area,Average Size,%Area,Mean,Cumulative sum
1,112,8960,80,0.088,255,
2,0,0,NaN,0,NaN,0
3,0,0,NaN,0,NaN,0
4,0,0,NaN,0,NaN,0
5,0,0,NaN,0,NaN,0
6,0,0,NaN,0,NaN,0
7,0,0,NaN,0,NaN,0
8,0,0,NaN,0,NaN,0
9,1,80,80,0.0007893,255,1
10,0,0,NaN,0,NaN,1
11,0,0,NaN,0,NaN,1
12,0,0,NaN,0,NaN,1
13,0,0,NaN,0,NaN,1
14,0,0,NaN,0,NaN,1
15,0,0,NaN,0,NaN,1
16,0,0,NaN,0,NaN,1
17,0,0,NaN,0,NaN,1
18,0,0,NaN,0,NaN,1
19,0,0,NaN,0,NaN,1
20,0,0,NaN,0,NaN,1
21,0,0,NaN,0,NaN,1
22,1,80,80,0.0007893,255,2
23,0,0,NaN,0,NaN,2
24,0,0,NaN,0,NaN,2
25,2,160,80,0.002,255,4
26,1,80,80,0.0007893,255,5
27,0,0,NaN,0,NaN,5
28,1,80,80,0.0007893,255,6
29,1,80,80,0.0007893,255,7
30,0,0,NaN,0,NaN,7
31,0,0,NaN,0,NaN,7
32,4,320,80,0.003,255,11
33,1,80,80,0.0007893,255,12
34,2,160,80,0.002,255,14
35,0,0,NaN,0,NaN,14
36,1,80,80,0.0007893,255,15
37,0,0,NaN,0,NaN,15
38,2,160,80,0.002,255,17
39,1,80,80,0.0007893,255,18
40,3,240,80,0.002,255,21
41,1,80,80,0.0007893,255,22
42,0,0,NaN,0,NaN,22
43,0,0,NaN,0,NaN,22
44,3,240,80,0.002,255,25
45,2,160,80,0.002,255,27
46,3,240,80,0.002,255,30
47,4,320,80,0.003,255,34
48,1,80,80,0.0007893,255,35
49,2,160,80,0.002,255,37
50,1,80,80,0.0007893,255,38
51,1,80,80,0.0007893,255,39
52,4,320,80,0.003,255,43
53,2,160,80,0.002,255,45
54,2,160,80,0.002,255,47
55,0,0,NaN,0,NaN,47
56,0,0,NaN,0,NaN,47
57,0,0,NaN,0,NaN,47
58,1,80,80,0.0007893,255,48
59,2,160,80,0.002,255,50
60,2,160,80,0.002,255,52
61,6,480,80,0.005,255,58
62,2,160,80,0.002,255,60
63,3,240,80,0.002,255,63
64,4,320,80,0.003,255,67
65,0,0,NaN,0,NaN,67
66,1,80,80,0.0007893,255,68
67,1,80,80,0.0007893,255,69
68,1,80,80,0.0007893,255,70
69,2,160,80,0.002,255,72
70,1,80,80,0.0007893,255,73
71,2,160,80,0.002,255,75
72,1,80,80,0.0007893,255,76
73,1,80,80,0.0007893,255,77
74,2,160,80,0.002,255,79
75,1,80,80,0.0007893,255,80
76,1,80,80,0.0007893,255,81
77,2,160,80,0.002,255,83
78,0,0,NaN,0,NaN,83
79,1,80,80,0.0007893,255,84
80,2,160,80,0.002,255,86
81,1,80,80,0.0007893,255,87
82,1,80,80,0.0007893,255,88
83,2,160,80,0.002,255,90
84,0,0,NaN,0,NaN,90
85,2,160,80,0.002,255,92
86,1,80,80,0.0007893,255,93
87,1,80,80,0.0007893,255,94
88,1,80,80,0.0007893,255,95
89,1,80,80,0.0007893,255,96
90,0,0,NaN,0,NaN,96
91,0,0,NaN,0,NaN,96
92,0,0,NaN,0,NaN,96
93,0,0,NaN,0,NaN,96
94,1,80,80,0.0007893,255,97
95,1,80,80,0.0007893,255,98
96,0,0,NaN,0,NaN,98
97,2,160,80,0.002,255,100
98,3,240,80,0.002,255,103
99,2,160,80,0.002,255,105
100,1,80,80,0.0007893,255,106
101,1,80,80,0.0007893,255,107
102,0,0,NaN,0,NaN,107
103,0,0,NaN,0,NaN,107
104,2,160,80,0.002,255,109
105,1,80,80,0.0007893,255,110
106,0,0,NaN,0,NaN,110
107,2,160,80,0.002,255,112
