row,microchaete,click_number,x,y,frame,division_number
3,1,1,2269.000,667.000,82,3
3,2,2,2066.281,582.763,88,3
3,3,3,1876.086,581.178,82,3
3,4,4,1716.006,578.008,52,3
3,5,5,1470.338,557.404,68,3
3,6,6,1265.879,576.423,67,3
3,1,7,2250.000,697.000,103,4
3,2,8,2067.866,584.348,101,4
3,3,9,1861.822,576.423,103,4
3,4,10,1706.496,587.518,77,4
3,5,11,1465.583,546.309,90,4
3,6,12,1261.124,563.744,86,4
5,1,13,2321.000,881.000,55,3
5,2,14,1876.086,847.451,57,3
5,3,15,1677.967,898.169,53,3
5,4,16,1451.318,952.058,53,3
5,5,17,1096.289,985.342,54,3
5,1,18,2287.000,922.000,86,4
5,2,19,1882.426,849.036,76,4
5,3,20,1679.552,887.075,85,4
5,4,21,1476.678,933.038,71,4
5,5,22,1096.289,983.757,78,4
