row,microchaete,click_number,x,y,frame,division_number
3,1,1,1913.000,423.000,49,3
3,2,2,1643.036,513.502,44,3
3,3,3,1500.258,494.465,51,3
3,4,4,1309.887,543.644,48,3
3,5,5,1129.035,529.366,52,3
3,6,6,937.077,594.409,44,3
3,7,7,770.503,622.965,32,3
3,1,8,1903.000,458.000,86,4
3,2,9,1654.141,516.675,79,4
3,3,10,1495.499,518.261,85,4
3,4,11,1298.782,545.230,78,4
3,5,12,1105.238,518.261,93,4
3,6,13,946.596,559.508,89,4
3,7,14,780.021,602.341,75,4
5,1,15,2013.000,750.000,53,3
5,2,16,1576.406,811.750,35,3
5,3,17,1397.140,872.034,24,3
5,4,18,1224.220,887.898,28,3
5,5,19,1063.991,945.009,58,3
5,6,20,832.373,1016.398,28,3
5,1,21,2011.000,810.000,83,4
5,2,22,1581.166,818.095,66,4
5,3,23,1406.659,870.447,70,4
5,4,24,1232.152,914.867,59,4
5,5,25,1011.639,946.596,93,4
5,6,26,859.342,1024.331,75,4
