row,microchaete,click_number,x,y,frame,division_number
3,1,1,2652.000,380.000,60,3
3,2,2,2411.500,237.500,51,3
3,3,3,1983.500,255.500,54,3
3,4,4,1679.500,363.500,22,3
3,5,5,1557.500,387.500,43,3
3,1,6,2634.000,370.000,78,4
3,2,7,2447.500,289.500,79,4
3,3,8,1999.500,247.500,69,4
3,4,9,1759.500,339.500,69,4
3,5,10,1555.500,395.500,66,4
5,1,11,2312.000,610.000,52,3
5,2,12,2129.500,605.500,38,3
5,3,13,1759.500,705.500,49,3
5,4,14,1479.500,839.500,10,3
5,1,15,2328.000,634.000,66,4
5,2,16,2161.500,623.500,56,4
5,3,17,1779.500,709.500,67,4
