row,microchaete,click_number,x,y,frame,division_number
3,1,1,2429.000,481.000,128,3
3,2,2,2199.507,539.602,114,3
3,3,3,2049.038,572.864,116,3
3,4,4,1931.831,503.173,140,3
3,5,5,1679.995,550.690,124,3
3,6,6,1401.232,545.938,135,3
3,1,7,2462.000,478.000,164,4
3,2,8,2235.936,522.180,139,4
3,3,9,2052.206,534.851,150,4
3,4,10,1960.341,495.254,156,4
3,5,11,1692.666,530.099,143,4
3,6,12,1405.984,522.180,158,4
5,1,13,2581.000,874.000,140,3
5,2,14,2099.722,838.955,102,3
5,3,15,1914.408,881.720,92,3
5,4,16,1659.404,913.398,78,3
5,5,17,1367.971,1003.679,82,3
5,6,18,1198.496,1019.517,73,3
5,7,19,1033.772,1005.263,106,3
5,1,20,2599.000,880.000,151,4
5,2,21,2113.977,837.371,109,4
5,3,22,1908.073,883.304,102,4
5,4,23,1678.411,905.478,95,4
5,5,24,1385.393,994.175,104,4
5,6,25,1212.750,997.343,98,4
5,7,26,1032.188,1002.095,127,4
