row,microchaete,click_number,x,y,frame,division_number
3,1,1,1874.000,496.000,35,3
3,2,2,2075.188,466.530,26,3
3,3,3,2278.039,472.820,22,3
3,4,4,2579.957,562.452,23,3
3,5,5,2746.641,571.887,18,3
3,6,6,2943.203,619.061,28,3
3,1,7,1904.000,527.000,61,4
3,2,8,2126.500,482.500,60,4
3,3,9,2308.500,472.500,55,4
3,4,10,2595.500,539.500,57,4
3,5,11,2808.500,541.500,54,4
3,6,12,3093.500,542.500,60,4
5,1,13,1834.000,725.000,34,3
5,2,14,2326.500,805.500,4,3
5,3,15,2775.500,935.500,5,3
5,4,16,3023.500,1046.500,6,3
5,1,17,1860.000,786.000,59,4
5,2,18,2323.500,810.500,32,4
5,3,19,2799.500,931.500,43,4
5,4,20,3052.500,1044.500,34,4
