row,microchaete,click_number,x,y,frame,division_number
3,1,1,2032.000,696.000,63,3
3,2,2,1753.500,669.500,54,3
3,3,3,1455.500,689.500,35,3
3,4,4,1251.500,715.500,43,3
3,5,5,1085.500,763.500,44,3
3,6,6,985.500,657.500,49,3
3,7,7,799.500,723.500,41,3
3,8,8,633.500,717.500,42,3
3,1,9,2032.000,712.000,78,4
3,2,10,1771.500,677.500,68,4
3,3,11,1447.500,693.500,61,4
3,4,12,1261.500,721.500,58,4
3,5,13,1083.500,741.500,66,4
3,6,14,981.500,659.500,63,4
3,7,15,793.500,711.500,51,4
5,1,16,1968.000,1016.000,53,3
5,2,17,1487.500,993.500,42,3
5,3,18,1293.500,1037.500,18,3
5,4,19,1123.500,1051.500,20,3
5,5,20,953.500,1095.500,37,3
5,6,21,775.500,1133.500,21,3
5,7,22,611.500,1165.500,22,3
5,1,23,1956.000,1038.000,62,4
5,2,24,1501.500,991.500,52,4
5,3,25,1315.500,1015.500,40,4
5,4,26,1143.500,1041.500,41,4
5,5,27,967.500,1063.500,54,4
5,6,28,779.500,1125.500,43,4
5,7,29,621.500,1145.500,41,4
