row,microchaete,click_number,x,y,frame,division_number
3,1,1,2852.000,615.000,60,3
3,2,2,2461.584,568.787,63,3
3,3,3,2312.026,581.652,84,3
3,4,4,2114.223,485.163,40,3
3,5,5,1959.840,469.081,47,3
3,6,6,1789.376,480.338,55,3
3,7,7,1626.952,506.069,50,3
3,8,8,1440.406,491.595,52,3
3,9,9,1191.142,570.395,50,3
3,10,10,1011.029,531.799,57,3
3,1,11,2833.000,640.000,77,4
3,2,12,2451.936,568.787,79,4
3,3,13,2294.336,589.693,91,4
3,4,14,2160.860,506.069,58,4
3,5,15,1950.191,473.906,82,4
3,6,16,1774.903,483.555,75,4
3,7,17,1633.385,504.461,68,4
3,8,18,1430.758,498.028,66,4
3,9,19,1202.400,560.746,61,4
3,10,20,998.164,531.799,67,4
5,1,21,2502.000,855.000,57,3
5,2,22,2014.518,795.536,40,3
5,3,23,1802.241,838.957,41,3
5,4,24,1607.655,883.985,39,3
5,5,25,1387.337,941.879,46,3
5,6,26,1060.882,999.772,49,3
5,7,27,837.349,1056.057,47,3
5,1,28,2481.000,881.000,77,4
5,2,29,2008.085,808.402,63,4
5,3,30,1797.417,867.903,55,4
5,4,31,1602.830,892.026,58,4
5,5,32,1380.905,940.270,64,4
5,6,33,1048.017,982.082,65,4
5,7,34,838.957,1051.233,61,4
