row,microchaete,click_number,x,y,frame,division_number
3,1,1,2612.000,631.000,46,3
3,2,2,2507.509,614.860,81,3
3,3,3,2259.701,556.650,58,3
3,4,4,1968.653,513.409,71,3
3,5,5,1823.960,463.515,47,3
3,1,6,2597.000,673.000,92,4
3,2,7,2475.909,598.229,99,4
3,3,8,2221.449,553.324,91,4
3,4,9,1928.737,523.388,89,4
5,1,10,2182.000,816.000,65,3
5,2,11,1689.246,826.078,29,3
5,3,12,1369.924,889.278,25,3
5,4,13,1155.379,929.193,22,3
5,1,14,2190.000,844.000,87,4
5,2,15,1679.267,832.731,43,4
5,3,16,1396.534,865.994,46,4
5,4,17,1157.042,914.225,67,4
5,5,18,671.407,994.055,50,4
