row,microchaete,click_number,x,y,frame,division_number
3,1,1,1756.000,438.000,51,3
3,2,2,1625.500,491.500,38,3
3,3,3,1453.500,521.500,28,3
3,4,4,1251.500,553.500,27,3
3,5,5,1087.500,585.500,37,3
3,6,6,893.500,595.500,21,3
3,7,7,709.500,655.500,20,3
3,1,8,1744.000,506.000,57,4
3,2,9,1605.500,489.500,59,4
3,3,10,1461.500,505.500,35,4
3,4,11,1231.500,563.500,35,4
3,5,12,1081.500,585.500,40,4
3,6,13,909.500,595.500,31,4
3,7,14,721.500,647.500,30,4
5,1,15,1910.000,786.000,38,3
5,2,16,1531.500,865.500,75,3
5,3,17,1437.500,801.500,6,3
5,1,18,1906.000,824.000,58,4
5,2,19,1433.500,859.500,104,4
5,3,20,1457.500,853.500,22,4
