row,microchaete,click_number,x,y,frame,division_number
3,1,1,2353.000,96.000,73,3
3,2,2,2226.361,81.918,71,3
3,3,3,1920.465,72.408,72,3
3,4,4,1749.290,99.352,44,3
3,5,5,1571.775,72.408,68,3
3,6,6,1365.731,107.277,59,3
3,1,7,2315.000,99.000,87,4
3,2,8,2221.606,110.447,81,4
3,3,9,1910.955,102.522,86,4
3,4,10,1747.705,99.352,71,4
3,5,11,1573.360,83.503,79,4
3,6,12,1359.391,121.542,71,4
5,1,13,2315.000,350.000,87,3
5,2,14,2034.582,413.173,67,3
5,3,15,1830.123,419.513,63,3
5,4,16,1505.207,522.535,53,3
5,5,17,1370.486,530.460,40,3
5,6,18,1166.027,587.518,47,3
5,1,19,2255.000,323.000,106,4
5,2,20,2021.902,422.683,76,4
5,3,21,1849.142,441.702,74,4
5,4,22,1476.678,539.969,79,4
5,5,23,1379.995,535.215,50,4
