row,microchaete,click_number,x,y,frame,division_number
3,1,1,2748.000,416.000,44,3
3,2,2,2555.500,291.500,31,3
3,3,3,2383.500,357.500,39,3
3,4,4,2175.500,295.500,21,3
3,5,5,1959.500,329.500,1,3
3,6,6,1747.500,325.500,1,3
3,1,7,2748.000,412.000,56,4
3,2,8,2579.500,327.500,50,4
3,3,9,2393.500,393.500,53,4
3,4,10,2171.500,335.500,65,4
3,5,11,2029.500,359.500,31,4
3,6,12,1821.500,351.500,39,4
5,1,13,2172.000,772.000,38,3
5,2,14,1615.500,769.500,1,3
5,3,15,1425.500,793.500,1,3
5,1,16,2176.000,796.000,52,4
5,2,17,1671.500,775.500,23,4
5,3,18,1481.500,801.500,26,4
