row,microchaete,click_number,x,y,frame,division_number
3,1,1,2372.000,632.000,27,3
3,2,2,2037.500,647.500,25,3
3,3,3,1809.500,685.500,34,3
3,4,4,1657.500,617.500,31,3
3,5,5,1471.500,655.500,29,3
3,6,6,1275.500,653.500,27,3
3,7,7,1093.500,725.500,27,3
3,8,8,927.500,735.500,26,3
3,9,9,745.500,753.500,30,3
3,10,10,495.500,705.500,31,3
3,1,11,2358.000,710.000,39,4
3,2,12,2185.500,623.500,41,4
3,3,13,1995.500,691.500,39,4
3,4,14,1809.500,689.500,38,4
3,5,15,1637.500,629.500,37,4
3,6,16,1453.500,649.500,32,4
3,7,17,1233.500,643.500,37,4
3,8,18,1067.500,695.500,37,4
3,9,19,883.500,711.500,37,4
3,10,20,703.500,751.500,36,4
3,11,21,473.500,675.500,34,4
5,1,22,2126.000,936.000,33,3
5,2,23,1679.500,953.500,29,3
5,3,24,1537.500,1005.500,23,3
5,4,25,1237.500,1057.500,21,3
5,5,26,987.500,1089.500,34,3
5,6,27,791.500,1151.500,31,3
5,7,28,645.500,1221.500,20,3
5,1,29,2102.000,966.000,38,4
5,2,30,1649.500,935.500,35,4
5,3,31,1551.500,1009.500,26,4
5,4,32,1237.500,1051.500,27,4
5,5,33,973.500,1077.500,38,4
5,6,34,789.500,1135.500,34,4
5,7,35,627.500,1229.500,27,4
