row,microchaete,click_number,x,y,frame,division_number
3,1,1,2683.000,492.000,105,3
3,2,2,2463.800,460.573,100,3
3,3,3,2109.734,526.665,99,3
3,4,4,1914.604,531.386,90,3
3,5,5,1588.864,592.758,87,3
3,6,6,1360.688,617.936,131,3
3,1,7,2657.000,516.000,128,4
3,2,8,2471.668,485.751,114,4
3,3,9,2304.864,422.806,116,4
3,4,10,1900.442,531.386,102,4
3,5,11,1585.716,603.773,102,4
3,6,12,1293.022,599.052,150,4
5,1,13,2467.000,841.000,102,3
5,2,14,1986.991,857.127,81,3
5,3,15,1817.040,905.909,70,3
5,4,16,1640.793,942.103,66,3
5,5,17,1234.797,1052.257,59,3
5,1,18,2461.000,863.000,119,4
5,2,19,1983.844,877.584,97,4
5,3,20,1812.319,913.777,81,4
5,4,21,1643.941,937.382,74,4
5,5,22,1237.945,1063.272,73,4
