row,microchaete,click_number,x,y,frame,division_number
3,1,1,2556.000,3099.000,61,3
3,2,2,2378.500,3053.500,67,3
3,3,3,2216.500,2933.500,56,3
3,4,4,2057.500,2921.500,64,3
3,5,5,1865.500,2900.500,56,3
3,6,6,1700.500,2855.500,57,3
3,7,7,1577.500,2825.500,54,3
3,8,8,1403.500,2801.500,56,3
3,1,9,2541.000,3114.000,98,4
3,2,10,2318.500,3053.500,103,4
3,3,11,2213.500,2936.500,92,4
3,4,12,2021.500,2918.500,96,4
3,5,13,1844.500,2873.500,89,4
3,6,14,1697.500,2855.500,86,4
3,7,15,1562.500,2780.500,86,4
3,8,16,1400.500,2765.500,90,4
3,9,17,1208.500,2702.500,86,4
5,1,18,2157.000,3264.000,52,3
5,2,19,1712.500,3200.500,42,3
5,3,20,1556.500,3173.500,60,3
5,4,21,1352.500,3149.500,48,3
5,5,22,1169.500,3134.500,35,3
5,1,23,2136.000,3288.000,90,4
5,2,24,1703.500,3182.500,76,4
5,3,25,1514.500,3092.500,97,4
5,4,26,1352.500,3119.500,75,4
5,5,27,1160.500,3119.500,63,4
