row,microchaete,click_number,x,y,frame,division_number
3,1,1,1843.000,373.000,54,3
3,2,2,1580.003,446.368,58,3
3,3,3,1431.047,474.592,36,3
3,4,4,1156.654,523.198,42,3
3,5,5,981.042,545.150,30,3
3,6,6,791.319,578.077,19,3
3,7,7,631.388,694.106,38,3
3,1,8,1836.000,395.000,63,4
3,2,9,1554.915,483.999,75,4
3,3,10,1435.750,465.184,48,4
3,4,11,1158.222,521.630,54,4
3,5,12,984.178,548.286,46,4
3,6,13,783.480,584.349,30,4
3,7,14,611.004,709.785,54,4
5,1,15,1970.000,718.000,39,3
5,2,16,1830.876,797.591,59,3
5,3,17,1503.173,811.703,58,3
5,4,18,1377.736,830.518,11,3
5,5,19,1183.309,874.421,64,3
5,6,20,1082.960,902.644,14,3
5,7,21,868.149,934.004,39,3
5,1,22,1978.000,763.000,53,4
5,2,23,1837.148,789.751,67,4
5,3,24,1493.765,833.654,70,4
5,4,25,1394.984,819.543,29,4
5,5,26,1198.989,855.606,71,4
5,6,27,1093.935,905.780,34,4
5,7,28,836.790,935.572,64,4
