row,microchaete,click_number,x,y,frame,division_number
3,1,1,2884.000,252.000,54,3
3,2,2,2765.735,235.930,46,3
3,3,3,2628.605,226.473,50,3
3,4,4,2461.528,207.559,48,3
3,5,5,2160.473,237.507,49,3
3,6,6,1807.404,295.826,31,3
3,7,7,1673.427,365.179,38,3
3,1,8,2846.000,255.000,78,4
3,2,9,2767.311,261.150,64,4
3,3,10,2598.657,229.626,62,4
3,4,11,2447.342,235.930,62,4
3,5,12,2168.354,234.354,62,4
3,6,13,1808.980,302.131,55,4
3,7,14,1670.274,357.298,62,4
5,1,15,2566.000,501.000,28,3
5,2,16,2122.644,524.375,2,3
5,3,17,1797.947,663.081,30,3
5,4,18,1615.107,727.705,24,3
5,1,19,2578.000,548.000,59,4
5,2,20,2127.373,562.204,37,4
5,3,21,1791.642,683.572,50,4
5,4,22,1624.564,730.858,44,4
