row,microchaete,click_number,x,y,frame,division_number
3,1,1,1324.000,240.000,67,3
3,2,2,1191.500,225.500,71,3
3,3,3,1011.500,243.500,73,3
3,4,4,825.500,289.500,67,3
3,5,5,655.500,251.500,55,3
3,6,6,469.500,265.500,59,3
3,1,7,1696.000,134.000,89,4
3,2,8,1309.500,231.500,91,4
3,3,9,1167.500,219.500,89,4
3,4,10,1001.500,223.500,84,4
3,5,11,795.500,269.500,83,4
3,6,12,617.500,235.500,87,4
3,7,13,473.500,265.500,81,4
5,1,14,1898.000,466.000,73,3
5,2,15,1525.500,505.500,57,3
5,3,16,1399.500,509.500,54,3
5,4,17,1213.500,581.500,43,3
5,5,18,1001.500,611.500,39,3
5,6,19,811.500,665.500,54,3
5,1,20,1902.000,520.000,88,4
5,2,21,1515.500,501.500,61,4
5,3,22,1373.500,513.500,68,4
5,4,23,1219.500,561.500,60,4
5,5,24,1009.500,601.500,48,4
5,6,25,811.500,651.500,77,4
