row,microchaete,click_number,x,y,frame,division_number
3,1,1,3485.500,1442.000,64,3
3,2,2,3304.000,1549.500,57,3
3,3,3,3120.000,1554.500,62,3
3,4,4,2941.500,1471.500,52,3
3,5,5,2761.500,1482.500,52,3
3,6,6,2598.500,1420.500,47,3
3,1,7,3503.000,1442.000,77,4
3,2,8,3332.500,1550.500,70,4
3,3,9,3134.500,1574.500,77,4
3,4,10,2968.500,1496.500,66,4
3,5,11,2784.500,1490.500,65,4
3,6,12,2614.500,1431.500,61,4
5,1,13,3150.000,1165.000,59,3
5,2,14,2575.500,1063.500,30,3
5,3,15,2355.500,994.833,36,3
5,4,16,2131.500,938.833,20,3
5,1,17,3146.000,1172.000,69,4
5,2,18,2631.500,1082.833,43,4
5,3,19,2383.500,1013.500,48,4
5,4,20,2159.500,952.167,30,4
