row,microchaete,click_number,x,y,frame,division_number
3,1,1,2938.000,468.000,76,3
3,2,2,2402.547,413.878,72,3
3,3,3,2232.635,415.612,67,3
3,4,4,2045.385,417.346,64,3
3,5,5,1769.710,363.598,76,3
3,6,6,1544.316,408.677,72,3
3,7,7,1376.137,453.756,55,3
3,8,8,1187.153,422.547,61,3
3,9,9,902.810,460.691,60,3
3,10,10,720.761,561.251,62,3
3,11,11,517.906,637.539,61,3
3,1,12,2914.000,473.000,89,4
3,2,13,2400.813,412.144,76,4
3,3,14,2229.167,417.346,75,4
3,4,15,2054.053,410.411,71,4
3,5,16,1774.912,374.001,88,4
3,6,17,1556.453,405.209,80,4
3,7,18,1390.008,441.619,63,4
3,8,19,1173.283,413.878,72,4
3,9,20,914.947,464.159,67,4
3,10,21,727.696,550.849,71,4
3,11,22,484.964,647.941,75,4
5,1,23,2560.000,683.000,63,3
5,2,24,2069.658,668.747,50,3
5,3,25,1845.997,795.314,35,3
5,4,26,1561.654,859.465,34,3
5,5,27,1242.635,906.278,43,3
5,6,28,1076.190,921.882,40,3
5,7,29,923.616,960.025,34,3
5,8,30,755.437,972.162,49,3
5,1,31,2566.000,705.000,78,4
5,2,32,2062.722,680.884,64,4
5,3,33,1832.127,772.775,54,4
5,4,34,1549.518,836.926,56,4
5,5,35,1246.102,880.271,57,4
5,6,36,1084.859,918.414,62,4
5,7,37,942.687,942.687,41,4
