row,microchaete,click_number,x,y,frame,division_number
3,1,1,2400.000,642.000,131,3
3,2,2,2215.500,587.500,118,3
3,3,3,1617.500,543.500,125,3
3,4,4,1415.500,539.500,113,3
3,5,5,1197.500,521.500,102,3
3,6,6,1003.500,531.500,88,3
3,7,7,819.500,471.500,112,3
3,1,8,2430.000,628.000,152,4
3,2,9,2243.500,633.500,142,4
3,3,10,1631.500,539.500,131,4
3,4,11,1429.500,519.500,138,4
3,5,12,1211.500,491.500,134,4
3,6,13,1037.500,507.500,120,4
3,7,14,817.500,473.500,124,4
5,1,15,1930.000,836.000,96,3
5,2,16,1461.500,821.500,80,3
5,3,17,1129.500,889.500,65,3
5,4,18,831.500,907.500,114,3
5,5,19,637.500,897.500,72,3
5,6,20,493.500,907.500,80,3
5,1,21,1974.000,882.000,125,4
5,2,22,1459.500,823.500,99,4
5,3,23,1171.500,879.500,85,4
5,4,24,835.500,869.500,148,4
5,5,25,651.500,881.500,91,4
5,6,26,481.500,919.500,99,4
