row,microchaete,click_number,x,y,frame,division_number
3,1,1,2897.000,614.000,40,3
3,2,2,2728.500,637.500,42,3
3,3,3,2536.500,604.500,31,3
3,4,4,2308.500,583.500,9,3
3,5,5,2059.500,619.500,4,3
3,6,6,1897.500,658.500,2,3
3,1,7,2891.000,644.000,47,4
3,2,8,2710.500,646.500,50,4
3,3,9,2533.500,637.500,43,4
3,4,10,2302.500,610.500,35,4
3,5,11,2050.500,610.500,31,4
3,6,12,1888.500,646.500,26,4
5,1,13,2456.000,938.000,14,3
5,2,14,1948.500,955.500,5,3
5,1,15,2447.000,950.000,41,4
5,2,16,1921.500,955.500,18,4
