row,microchaete,click_number,x,y,frame,division_number
3,1,1,2052.000,522.000,53,3
3,2,2,1740.753,577.746,32,3
3,3,3,1576.238,634.756,45,3
3,4,4,1317.249,714.570,37,3
3,5,5,1014.281,677.106,31,3
3,6,6,848.137,665.704,28,3
3,1,7,2052.000,557.000,87,4
3,2,8,1766.815,567.973,74,4
3,3,9,1581.125,631.498,77,4
3,4,10,1327.022,701.539,70,4
3,5,11,1033.827,699.911,63,4
3,6,12,856.281,699.911,68,4
5,1,13,2400.000,798.000,46,3
5,2,14,1840.114,910.034,16,3
5,3,15,1577.867,963.786,22,3
5,4,16,1366.115,1050.116,36,3
5,5,17,1045.229,1169.023,29,3
5,1,18,2379.000,856.000,77,4
5,2,19,1840.114,900.260,51,4
5,3,20,1621.846,975.188,67,4
5,4,21,1348.197,1041.971,67,4
5,5,22,1045.229,1180.425,61,4
